dataset_drug_id,dataset_drug_name,ctd_chemical_id,ctd_chemical_name,matched_alias
DB00873,Loteprednol,MESH:D000069559,Loteprednol Etabonate,Loteprednol
DB00876,Eprosartan,MESH:C068373,eprosartan,Eprosartan
DB00880,Chlorothiazide,MESH:D002740,Chlorothiazide,Chlorothiazide
DB00881,Quinapril,MESH:D000077583,Quinapril,Quinapril
DB00882,Clomifene,MESH:D002996,Clomiphene,Clomifene
DB00883,Isosorbide dinitrate,MESH:D007548,Isosorbide Dinitrate,Isosorbide dinitrate
DB00884,Risedronic acid,MESH:D000068296,Risedronic Acid,Risedronic acid
DB00887,Bumetanide,MESH:D002034,Bumetanide,Bumetanide
DB00888,Mechlorethamine,MESH:D008466,Mechlorethamine,Mechlorethamine
DB00889,Granisetron,MESH:D017829,Granisetron,Granisetron
DB00898,Ethanol,MESH:D000431,Ethanol,Ethanol
DB00899,Remifentanil,MESH:D000077208,Remifentanil,Remifentanil
DB00903,Etacrynic acid,MESH:D004976,Ethacrynic Acid,Etacrynic acid
DB00904,Ondansetron,MESH:D017294,Ondansetron,Ondansetron
DB00905,Bimatoprost,MESH:D000069580,Bimatoprost,Bimatoprost
DB00906,Tiagabine,MESH:D000078308,Tiagabine,Tiagabine
DB00907,Cocaine,MESH:D003042,Cocaine,Cocaine
DB00908,Quinidine,MESH:D011802,Quinidine,Quinidine
DB00909,Zonisamide,MESH:D000078305,Zonisamide,Zonisamide
DB00912,Repaglinide,MESH:C072379,repaglinide,Repaglinide
DB00915,Amantadine,MESH:D000547,Amantadine,Amantadine
DB00917,Dinoprostone,MESH:D015232,Dinoprostone,Dinoprostone
DB00918,Almotriptan,MESH:C409045,almotriptan,Almotriptan
DB00920,Ketotifen,MESH:D007665,Ketotifen,Ketotifen
DB00921,Buprenorphine,MESH:D002047,Buprenorphine,Buprenorphine
DB00924,Cyclobenzaprine,MESH:C004704,cyclobenzaprine,Cyclobenzaprine
DB00925,Phenoxybenzamine,MESH:D010643,Phenoxybenzamine,Phenoxybenzamine
DB00927,Famotidine,MESH:D015738,Famotidine,Famotidine
DB00928,Azacitidine,MESH:D001374,Azacitidine,Azacitidine
DB00929,Misoprostol,MESH:D016595,Misoprostol,Misoprostol
DB00933,Mesoridazine,MESH:D008653,Mesoridazine,Mesoridazine
DB00936,Salicylic acid,MESH:D020156,Salicylic Acid,Salicylic acid
DB00937,Diethylpropion,MESH:D004053,Diethylpropion,Diethylpropion
DB00938,Salmeterol,MESH:D000068299,Salmeterol Xinafoate,Salmeterol
DB00939,Meclofenamic acid,MESH:D008469,Meclofenamic Acid,Meclofenamic acid
DB00945,Acetylsalicylic acid,MESH:D001241,Aspirin,Acetylsalicylic acid
DB00947,Fulvestrant,MESH:D000077267,Fulvestrant,Fulvestrant
DB00949,Felbamate,MESH:D000078328,Felbamate,Felbamate
DB00950,Fexofenadine,MESH:C093230,fexofenadine,Fexofenadine
DB00952,Naratriptan,MESH:C106783,naratriptan,Naratriptan
DB00953,Rizatriptan,MESH:C093622,rizatriptan,Rizatriptan
DB00956,Hydrocodone,MESH:D006853,Hydrocodone,Hydrocodone
DB00957,Norgestimate,MESH:C017576,norgestimate,Norgestimate
DB00958,Carboplatin,MESH:D016190,Carboplatin,Carboplatin
DB00959,Methylprednisolone,MESH:D008775,Methylprednisolone,Methylprednisolone
DB00960,Pindolol,MESH:D010869,Pindolol,Pindolol
DB00963,Bromfenac,MESH:C053083,bromfenac,Bromfenac
DB00966,Telmisartan,MESH:D000077333,Telmisartan,Telmisartan
DB00967,Desloratadine,MESH:C121345,desloratadine,Desloratadine
DB00968,Methyldopa,MESH:D008750,Methyldopa,Methyldopa
DB00969,Alosetron,MESH:C090840,alosetron,Alosetron
DB00972,Azelastine,MESH:C020976,azelastine,Azelastine
DB00973,Ezetimibe,MESH:D000069438,Ezetimibe,Ezetimibe
DB00975,Dipyridamole,MESH:D004176,Dipyridamole,Dipyridamole
DB00977,Ethinylestradiol,MESH:D004997,Ethinyl Estradiol,Ethinylestradiol
DB00982,Isotretinoin,MESH:D015474,Isotretinoin,Isotretinoin
DB00983,Formoterol,MESH:D000068759,Formoterol Fumarate,Formoterol
DB00984,Nandrolone phenpropionate,MESH:C008580,nandrolone phenpropionate,Nandrolone phenpropionate
DB00987,Cytarabine,MESH:D003561,Cytarabine,Cytarabine
DB00988,Dopamine,MESH:D004298,Dopamine,Dopamine
DB00989,Rivastigmine,MESH:D000068836,Rivastigmine,Rivastigmine
DB00990,Exemestane,MESH:C056516,exemestane,Exemestane
DB00991,Oxaprozin,MESH:D000077431,Oxaprozin,Oxaprozin
DB00992,Methyl aminolevulinate,,,
DB00993,Azathioprine,MESH:D001379,Azathioprine,Azathioprine
DB00995,Auranofin,MESH:D001310,Auranofin,Auranofin
DB00996,Gabapentin,MESH:D000077206,Gabapentin,Gabapentin
DB00997,Doxorubicin,MESH:D004317,Doxorubicin,Doxorubicin
DB00998,Frovatriptan,MESH:C108128,frovatriptan,Frovatriptan
DB00999,Hydrochlorothiazide,MESH:D006852,Hydrochlorothiazide,Hydrochlorothiazide
DB01001,Salbutamol,MESH:D000420,Albuterol,Salbutamol
DB01002,Levobupivacaine,MESH:D000077554,Levobupivacaine,Levobupivacaine
DB01003,Cromoglicic acid,MESH:D004205,Cromolyn Sodium,Cromoglicic acid
DB01005,Hydroxyurea,MESH:D006918,Hydroxyurea,Hydroxyurea
DB01006,Letrozole,MESH:D000077289,Letrozole,Letrozole
DB01008,Busulfan,MESH:D002066,Busulfan,Busulfan
DB01009,Ketoprofen,MESH:D007660,Ketoprofen,Ketoprofen
DB01012,Cinacalcet,MESH:D000069449,Cinacalcet,Cinacalcet
DB01013,Clobetasol propionate,MESH:D002990,Clobetasol,Clobetasol propionate
DB01014,Balsalazide,MESH:C038637,balsalazide,Balsalazide
DB01016,Glyburide,MESH:D005905,Glyburide,Glyburide
DB01017,Minocycline,MESH:D008911,Minocycline,Minocycline
DB01018,Guanfacine,MESH:D016316,Guanfacine,Guanfacine
DB01019,Bethanechol,MESH:D018723,Bethanechol,Bethanechol
DB01020,Isosorbide mononitrate,MESH:C030397,isosorbide-5-mononitrate,Isosorbide mononitrate
DB01023,Felodipine,MESH:D015736,Felodipine,Felodipine
DB01026,Ketoconazole,MESH:D007654,Ketoconazole,Ketoconazole
DB01029,Irbesartan,MESH:D000077405,Irbesartan,Irbesartan
DB01030,Topotecan,MESH:D019772,Topotecan,Topotecan
DB01033,Mercaptopurine,MESH:D015122,Mercaptopurine,Mercaptopurine
DB01035,Procainamide,MESH:D011342,Procainamide,Procainamide
DB01037,Selegiline,MESH:D012642,Selegiline,Selegiline
DB01039,Fenofibrate,MESH:D011345,Fenofibrate,Fenofibrate
DB01041,Thalidomide,MESH:D013792,Thalidomide,Thalidomide
DB01042,Melphalan,MESH:D008558,Melphalan,Melphalan
DB01043,Memantine,MESH:D008559,Memantine,Memantine
DB01045,Rifampicin,MESH:D012293,Rifampin,Rifampicin
DB01046,Lubiprostone,MESH:D000068238,Lubiprostone,Lubiprostone
DB01050,Ibuprofen,MESH:D007052,Ibuprofen,Ibuprofen
DB01058,Praziquantel,MESH:D011223,Praziquantel,Praziquantel
DB01062,Oxybutynin,MESH:C005419,oxybutynin,Oxybutynin
DB01063,Acetophenazine,MESH:C100162,acetophenazine,Acetophenazine
DB01064,Isoprenaline,MESH:D007545,Isoproterenol,Isoprenaline
DB01065,Melatonin,MESH:D008550,Melatonin,Melatonin
DB01067,Glipizide,MESH:D005913,Glipizide,Glipizide
DB01068,Clonazepam,MESH:D002998,Clonazepam,Clonazepam
DB01069,Promethazine,MESH:D011398,Promethazine,Promethazine
DB01070,Dihydrotachysterol,MESH:D004097,Dihydrotachysterol,Dihydrotachysterol
DB01071,Mequitazine,MESH:C006069,mequitazine,Mequitazine
DB01072,Atazanavir,MESH:D000069446,Atazanavir Sulfate,Atazanavir
DB01073,Fludarabine,MESH:C024352,fludarabine,Fludarabine
DB01075,Diphenhydramine,MESH:D004155,Diphenhydramine,Diphenhydramine
DB01076,Atorvastatin,MESH:D000069059,Atorvastatin,Atorvastatin
DB01077,Etidronic acid,MESH:D012968,Etidronic Acid,Etidronic acid
DB01080,Vigabatrin,MESH:D020888,Vigabatrin,Vigabatrin
DB01083,Orlistat,MESH:D000077403,Orlistat,Orlistat
DB01084,Emedastine,MESH:C043345,emedastine,Emedastine
DB01085,Pilocarpine,MESH:D010862,Pilocarpine,Pilocarpine
DB01086,Benzocaine,MESH:D001566,Benzocaine,Benzocaine
DB01088,Iloprost,MESH:D016285,Iloprost,Iloprost
DB01095,Fluvastatin,MESH:D000077340,Fluvastatin,Fluvastatin
DB01098,Rosuvastatin,MESH:D000068718,Rosuvastatin Calcium,Rosuvastatin
DB01099,Flucytosine,MESH:D005437,Flucytosine,Flucytosine
DB01101,Capecitabine,MESH:D000069287,Capecitabine,Capecitabine
DB01104,Sertraline,MESH:D020280,Sertraline,Sertraline
DB01105,Sibutramine,MESH:C058254,sibutramine,Sibutramine
DB01106,Levocabastine,MESH:C047340,levocabastine,Levocabastine
DB01110,Miconazole,MESH:D008825,Miconazole,Miconazole
DB01113,Papaverine,MESH:D010208,Papaverine,Papaverine
DB01114,Chlorpheniramine,MESH:D002744,Chlorpheniramine,Chlorpheniramine
DB01115,Nifedipine,MESH:D009543,Nifedipine,Nifedipine
DB01118,Amiodarone,MESH:D000638,Amiodarone,Amiodarone
DB01120,Gliclazide,MESH:D005907,Gliclazide,Gliclazide
DB01122,Ambenonium,,,
DB01124,Tolbutamide,MESH:D014044,Tolbutamide,Tolbutamide
DB01125,Anisindione,MESH:C010679,anisindione,Anisindione
DB01128,Bicalutamide,MESH:C053541,bicalutamide,Bicalutamide
DB01129,Rabeprazole,MESH:D064750,Rabeprazole,Rabeprazole
DB01132,Pioglitazone,MESH:D000077205,Pioglitazone,Pioglitazone
DB01133,Tiludronic acid,MESH:C058651,tiludronic acid,Tiludronic acid
DB01136,Carvedilol,MESH:D000077261,Carvedilol,Carvedilol
DB01137,Levofloxacin,MESH:D064704,Levofloxacin,Levofloxacin
DB01142,Doxepin,MESH:D004316,Doxepin,Doxepin
DB01143,Amifostine,MESH:D004999,Amifostine,Amifostine
DB01144,Diclofenamide,,,
DB01146,Diphenylpyraline,MESH:C009871,diphenylpyraline,Diphenylpyraline
DB01148,Flavoxate,MESH:D005422,Flavoxate,Flavoxate
DB01151,Desipramine,MESH:D003891,Desipramine,Desipramine
DB01156,Bupropion,MESH:D016642,Bupropion,Bupropion
DB01157,Trimetrexate,MESH:D016597,Trimetrexate,Trimetrexate
DB01161,Chloroprocaine,MESH:C004616,chloroprocaine,Chloroprocaine
DB01162,Terazosin,MESH:C041226,Terazosin,Terazosin
DB01165,Ofloxacin,MESH:D015242,Ofloxacin,Ofloxacin
DB01167,Itraconazole,MESH:D017964,Itraconazole,Itraconazole
DB01169,Arsenic trioxide,MESH:D000077237,Arsenic Trioxide,Arsenic trioxide
DB01170,Guanethidine,MESH:D006145,Guanethidine,Guanethidine
DB01173,Orphenadrine,MESH:D009966,Orphenadrine,Orphenadrine
DB01174,Phenobarbital,MESH:D010634,Phenobarbital,Phenobarbital
DB01175,Escitalopram,MESH:D000089983,Escitalopram,Escitalopram
DB01176,Cyclizine,MESH:D003501,Cyclizine,Cyclizine
DB01177,Idarubicin,MESH:D015255,Idarubicin,Idarubicin
DB01181,Ifosfamide,MESH:D007069,Ifosfamide,Ifosfamide
DB01182,Propafenone,MESH:D011405,Propafenone,Propafenone
DB01185,Fluoxymesterone,MESH:D005474,Fluoxymesterone,Fluoxymesterone
DB01186,Pergolide,MESH:D010479,Pergolide,Pergolide
DB01188,Ciclopirox,MESH:D000077768,Ciclopirox,Ciclopirox
DB01189,Desflurane,MESH:D000077335,Desflurane,Desflurane
DB01192,Oxymorphone,MESH:D010111,Oxymorphone,Oxymorphone
DB01193,Acebutolol,MESH:D000070,Acebutolol,Acebutolol
DB01194,Brinzolamide,MESH:C111827,brinzolamide,Brinzolamide
DB01195,Flecainide,MESH:D005424,Flecainide,Flecainide
DB01196,Estramustine,MESH:D004961,Estramustine,Estramustine
DB01197,Captopril,MESH:D002216,Captopril,Captopril
DB01200,Bromocriptine,MESH:D001971,Bromocriptine,Bromocriptine
DB01202,Levetiracetam,MESH:D000077287,Levetiracetam,Levetiracetam
DB01203,Nadolol,MESH:D009248,Nadolol,Nadolol
DB01204,Mitoxantrone,MESH:D008942,Mitoxantrone,Mitoxantrone
DB01210,Levobunolol,MESH:D002040,Levobunolol,Levobunolol
DB01214,Metipranolol,MESH:D014290,Metipranolol,Metipranolol
DB01216,Finasteride,MESH:D018120,Finasteride,Finasteride
DB01217,Anastrozole,MESH:D000077384,Anastrozole,Anastrozole
DB01219,Dantrolene,MESH:D003620,Dantrolene,Dantrolene
DB01221,Ketamine,MESH:C000629870,Esketamine,Ketamine
DB01222,Budesonide,MESH:D019819,Budesonide,Budesonide
DB01223,Aminophylline,MESH:D000628,Aminophylline,Aminophylline
DB01224,Quetiapine,MESH:D000069348,Quetiapine Fumarate,Quetiapine
DB01225,Enoxaparin,MESH:D017984,Enoxaparin,Enoxaparin
DB01228,Encainide,MESH:D016700,Encainide,Encainide
DB01229,Paclitaxel,MESH:D017239,Paclitaxel,Paclitaxel
DB01231,Diphenidol,MESH:C004858,diphenidol,Diphenidol
DB01232,Saquinavir,MESH:D019258,Saquinavir,Saquinavir
DB01233,Metoclopramide,MESH:D008787,Metoclopramide,Metoclopramide
DB01234,Dexamethasone,MESH:D003907,Dexamethasone,Dexamethasone
DB01235,Levodopa,MESH:D007980,Levodopa,Levodopa
DB01237,Bromodiphenhydramine,MESH:C011410,bromodiphenhydramine,Bromodiphenhydramine
DB01238,Aripiprazole,MESH:D000068180,Aripiprazole,Aripiprazole
DB01240,Epoprostenol,MESH:D011464,Epoprostenol,Epoprostenol
DB01241,Gemfibrozil,MESH:D015248,Gemfibrozil,Gemfibrozil
DB01242,Clomipramine,MESH:D002997,Clomipramine,Clomipramine
DB01244,Bepridil,MESH:D015764,Bepridil,Bepridil
DB01246,Alimemazine,MESH:D014291,Trimeprazine,Alimemazine
DB01248,Docetaxel,MESH:D000077143,Docetaxel,Docetaxel
DB01250,Olsalazine,MESH:C032587,olsalazine,Olsalazine
DB01254,Dasatinib,MESH:D000069439,Dasatinib,Dasatinib
DB01255,Lisdexamfetamine,MESH:D000069478,Lisdexamfetamine Dimesylate,Lisdexamfetamine
DB01258,Aliskiren,MESH:C446481,aliskiren,Aliskiren
DB01259,Lapatinib,MESH:D000077341,Lapatinib,Lapatinib
DB01260,Desonide,MESH:D003898,Desonide,Desonide
DB01261,Sitagliptin,MESH:D000068900,Sitagliptin Phosphate,Sitagliptin
DB01262,Decitabine,MESH:D000077209,Decitabine,Decitabine
DB01267,Paliperidone,MESH:D000068882,Paliperidone Palmitate,Paliperidone
DB01268,Sunitinib,MESH:D000077210,Sunitinib,Sunitinib
DB01275,Hydralazine,MESH:D006830,Hydralazine,Hydralazine
DB01283,Lumiracoxib,MESH:C473384,lumiracoxib,Lumiracoxib
DB01291,Pirbuterol,MESH:C009118,pirbuterol,Pirbuterol
DB01296,Glucosamine,MESH:D005944,Glucosamine,Glucosamine
DB01320,Fosphenytoin,MESH:C043114,fosphenytoin,Fosphenytoin
DB01327,Cefazolin,MESH:D002437,Cefazolin,Cefazolin
DB01351,Amobarbital,MESH:D000654,Amobarbital,Amobarbital
DB01356,Lithium cation,,,
DB01359,Penbutolol,MESH:D010394,Penbutolol,Penbutolol
DB01364,Ephedrine,MESH:D004809,Ephedrine,Ephedrine
DB01367,Rasagiline,MESH:C031967,rasagiline,Rasagiline
DB01390,Sodium bicarbonate,MESH:D017693,Sodium Bicarbonate,Sodium bicarbonate
DB01394,Colchicine,MESH:D003078,Colchicine,Colchicine
DB01395,Drospirenone,MESH:C035144,drospirenone,Drospirenone
DB01399,Salsalate,MESH:C014182,salicylsalicylic acid,Salsalate
DB01400,Neostigmine,MESH:D009388,Neostigmine,Neostigmine
DB01403,Methotrimeprazine,MESH:D008728,Methotrimeprazine,Methotrimeprazine
DB01406,Danazol,MESH:D003613,Danazol,Danazol
DB01410,Ciclesonide,MESH:C120481,ciclesonide,Ciclesonide
DB01427,Amrinone,MESH:D000676,Amrinone,Amrinone
DB01440,gamma-Hydroxybutyric acid,MESH:C111420,4-hydroxybutyric acid,gamma-Hydroxybutyric acid
DB01551,Dihydrocodeine,MESH:C014481,dihydrocodeine,Dihydrocodeine
DB01576,Dextroamphetamine,MESH:D003913,Dextroamphetamine,Dextroamphetamine
DB01577,Metamfetamine,MESH:D008694,Methamphetamine,Metamfetamine
DB01579,Phendimetrazine,MESH:C100294,phendimetrazine,Phendimetrazine
DB01590,Everolimus,MESH:D000068338,Everolimus,Everolimus
DB01611,Hydroxychloroquine,MESH:D006886,Hydroxychloroquine,Hydroxychloroquine
DB01620,Pheniramine,MESH:D010632,Pheniramine,Pheniramine
DB01623,Thiothixene,MESH:D013888,Thiothixene,Thiothixene
DB01628,Etoricoxib,MESH:D000077613,Etoricoxib,Etoricoxib
DB02546,Vorinostat,MESH:D000077337,Vorinostat,Vorinostat
DB04571,Trioxsalen,MESH:D014307,Trioxsalen,Trioxsalen
DB04844,Tetrabenazine,MESH:D013747,Tetrabenazine,Tetrabenazine
DB04861,Nebivolol,MESH:D000068577,Nebivolol,Nebivolol
DB04865,Omacetaxine mepesuccinate,MESH:D000077863,Homoharringtonine,Omacetaxine mepesuccinate
DB04868,Nilotinib,MESH:C498826,nilotinib,Nilotinib
DB05271,Rotigotine,MESH:C047508,rotigotine,Rotigotine
DB06196,Icatibant,MESH:C065679,icatibant,Icatibant
DB06201,Rufinamide,MESH:C079703,rufinamide,Rufinamide
DB06268,Sitaxentan,,,
DB06287,Temsirolimus,MESH:C401859,temsirolimus,Temsirolimus
DB06718,Stanozolol,MESH:D013197,Stanozolol,Stanozolol
DB06803,Niclosamide,MESH:D009534,Niclosamide,Niclosamide
DB08799,Antazoline,MESH:D000865,Antazoline,Antazoline
DB08800,Chloropyramine,MESH:C004664,chloropyramine,Chloropyramine
DB08801,Dimetindene,MESH:D004115,Dimethindene,Dimetindene
DB08802,Isothipendyl,MESH:C008214,isothipendyl,Isothipendyl
DB08803,Tymazoline,,,
DB08804,Nandrolone decanoate,MESH:D000077603,Nandrolone Decanoate,Nandrolone decanoate
DB08820,Ivacaftor,MESH:C545203,ivacaftor,Ivacaftor
DB08824,Ioflupane I-123,,,
DB08835,Spaglumic acid,,,
DB08896,Regorafenib,MESH:C559147,regorafenib,Regorafenib
DB08901,Ponatinib,MESH:C545373,ponatinib,Ponatinib
DB08906,Fluticasone furoate,MESH:C523187,fluticasone furoate,Fluticasone furoate
DB08907,Canagliflozin,MESH:D000068896,Canagliflozin,Canagliflozin
