Protein1,Protein2,Score
4140,5135,189
4140,5789,269
4140,634,361
4140,817,177
4140,3695,172
4140,4664,205
4140,4177,270
4140,5361,195
4140,3403,999
4140,991,208
4140,5696,339
4140,867,182
4140,1733,232
4140,3585,210
4140,3995,155
4140,399,234
4140,5485,244
4140,2350,328
4140,3790,187
4140,4457,346
4140,3022,151
4140,5461,200
4140,3641,161
4140,2182,358
4140,1248,765
4140,1682,334
4140,3625,154
4140,4280,208
4140,2047,249
4140,7,342
4140,3963,155
4140,3359,847
4140,5316,178
4140,4057,168
4140,2083,389
4140,4748,155
4140,2227,157
4140,5278,164
4140,2108,306
4140,5298,170
4140,3941,194
4140,3242,153
4140,591,170
4140,2088,153
4140,1107,230
4140,3314,420
4140,5772,241
4140,1840,160
4140,587,288
4140,812,228
4140,3903,504
4140,4698,196
4140,3247,557
4140,2851,366
4140,714,176
4140,3582,468
4140,2203,387
4140,1262,161
4140,4631,248
4140,5910,247
4140,259,198
4140,4803,181
4140,1028,228
4140,5931,403
4140,5294,150
4140,2716,219
4140,3254,199
4140,1895,752
4140,1022,208
4140,708,440
4140,1766,425
4140,5089,208
4140,3569,232
4140,643,303
4140,4001,383
4140,1529,151
4140,3727,459
4140,4472,325
4140,5659,826
4140,5093,596
4140,5110,338
4140,3169,255
4140,3120,395
4140,388,357
4140,1229,592
4140,432,280
4140,3193,310
4140,1844,465
4140,5926,225
4140,2253,369
4140,3163,242
4140,4914,197
4140,5852,356
4140,5924,197
4140,2292,261
4140,1983,225
4140,99,378
4140,4545,243
4140,4413,396
4140,4480,484
4140,133,162
4140,942,381
4140,3820,327
4140,3240,276
4140,3594,197
4140,5921,184
4140,4534,210
4140,3785,187
4140,1297,248
4140,4548,268
4140,1735,209
4140,4054,630
4140,136,205
4140,4555,263
4140,217,430
4140,4273,511
4140,3117,175
4140,5447,215
4140,4942,150
4140,3760,182
4140,3133,171
4140,1306,180
4140,1116,223
4140,3275,185
4140,3011,175
4140,4142,167
4140,79,217
4140,2864,431
4140,4240,215
4140,3819,173
4140,2280,181
4140,4503,303
4140,5718,154
4140,4489,478
4140,5842,412
4140,1506,210
4140,148,151
4140,5679,343
4140,2164,853
4140,3440,236
4140,4578,174
4140,2897,227
4140,4482,438
4140,2271,183
4140,838,194
4140,3281,163
4140,141,368
4140,4846,269
4140,4745,204
4140,1728,430
4140,4898,290
4140,3793,287
4140,225,161
4140,4381,294
4140,3252,232
4140,3682,538
4140,1884,175
4140,3173,176
4140,660,205
4140,544,402
4140,1429,213
4140,3831,481
4140,1546,168
4140,5954,518
4140,274,610
4140,5644,287
4140,3910,228
4140,4330,341
4140,5288,175
4140,771,180
4140,5176,305
4140,3261,189
4140,5591,175
4140,1356,267
4140,5004,306
4140,4056,162
4140,4146,177
4140,3882,258
4140,4910,183
4140,4729,232
4140,3568,226
4140,4871,183
4140,4951,247
4140,2768,302
4140,461,256
4140,1540,287
4140,2712,360
4140,3060,325
4140,1690,361
4140,851,523
4140,5086,486
4140,4738,600
4140,3276,199
4140,3655,219
4140,3985,299
4140,1781,269
4140,1183,648
4140,320,223
4140,2650,207
4140,4234,340
4140,4661,158
4140,568,326
4140,4716,280
4140,5707,588
4140,477,169
4140,3067,256
4140,3981,425
4140,899,311
4140,1798,153
4140,2143,173
4140,5321,233
4140,1683,796
4140,3497,661
4140,583,204
4140,5943,158
4140,2961,154
4140,668,372
4140,4958,157
4140,1629,190
4140,5896,181
4140,1381,247
4140,1373,221
4140,891,232
4140,837,330
4140,4835,182
4140,4302,184
4140,5324,191
4140,754,250
4140,4155,350
4140,4015,262
4140,1951,285
4140,4162,216
4140,1337,153
4140,3808,282
4140,1031,349
4140,2443,161
4140,3150,261
4140,1679,311
4140,5928,517
4140,694,179
4140,3733,569
4140,3551,186
4140,2794,233
4140,1105,489
4140,3750,210
4140,139,277
4140,1217,292
4140,4128,179
4140,1081,237
4140,51,572
4140,2276,160
4140,191,927
4140,1697,264
4140,5735,316
4140,5930,258
4140,5218,224
4140,4847,177
4140,2175,218
4140,1126,478
4140,5464,161
4140,1012,248
4140,1278,203
4140,5764,158
4140,4355,157
4140,1835,177
4140,5385,906
4140,3531,152
4140,5406,524
4140,1675,264
4140,1611,895
4140,5052,542
4140,1159,521
4140,1343,322
4140,4747,152
4140,4978,159
4140,4363,724
4140,4711,156
4140,3112,696
4140,3268,188
4140,1246,269
4140,2540,210
4140,2787,226
4140,3562,168
4140,3131,244
4140,5809,155
4140,1384,421
4140,4809,772
4140,144,190
4140,951,412
4140,4058,464
4140,4936,293
4140,5045,262
4140,4470,158
4140,2317,508
4140,3054,243
4140,5948,816
4140,5032,238
4140,607,247
4140,4186,163
4140,4259,206
4140,5127,210
4140,2018,165
4140,597,157
4140,4388,267
4140,2059,226
4140,5025,168
4140,405,161
4140,4521,319
4140,1002,174
4140,5760,181
4140,5779,166
4140,2000,187
4140,5666,262
4140,1528,684
4140,442,183
4140,4651,207
4140,3620,229
4140,4168,425
4140,5269,214
4140,157,190
4140,3167,546
4140,5006,313
4140,1915,153
4140,1186,222
4140,3486,393
4140,615,294
4140,1154,199
4140,1056,210
4140,1026,183
4140,3937,169
4140,946,999
4140,4984,477
4140,1095,172
4140,3802,204
4140,5806,162
4140,4909,360
4140,623,214
4140,4173,222
4140,1348,216
4140,4090,265
4140,2992,253
4140,3478,281
4140,4185,211
4140,5287,233
4140,1758,177
4140,4749,215
4140,1443,484
4140,3473,266
4140,1588,236
4140,3905,999
4140,2808,401
4140,2970,250
4140,3657,409
4140,3311,159
4140,4592,319
4140,5186,539
4140,3390,271
4140,3629,288
4140,1362,161
4140,2044,263
4140,647,150
4140,3574,179
4140,3002,298
4140,1685,430
4140,2987,154
4140,2739,196
4140,3662,653
4140,1997,194
4140,5285,304
4140,5811,181
4140,1403,198
4140,2557,201
4140,662,323
4140,693,221
4140,70,292
4140,3432,150
4140,179,158
4140,2881,197
4140,5508,546
4140,2392,159
4140,2579,203
4140,2456,327
4140,3991,355
4140,55,202
4140,2048,221
4140,2790,420
4140,4431,500
4140,5845,472
4140,4546,449
4140,3299,231
4140,4513,177
4140,2039,662
4140,4883,813
4140,1929,155
4140,3630,168
4140,1457,213
4140,2628,306
4140,3000,151
4140,3712,311
4140,216,402
4140,265,155
4140,2207,168
4140,5441,247
4140,2210,415
4140,3838,189
4140,3271,377
4140,1755,150
4140,1305,156
4140,3064,230
4140,4814,172
4140,1180,323
4140,1762,154
4140,1272,168
4140,1975,166
4140,612,392
4140,3211,435
4140,2524,308
4140,5148,340
4140,4732,493
4140,3375,267
4140,2653,190
4140,1686,171
4140,3425,983
4140,1789,163
4140,5831,925
4140,3146,230
4140,732,372
4140,2700,181
4140,199,192
4140,5380,387
4140,4552,556
4140,245,326
4140,895,228
4140,799,420
4140,1448,731
4140,2714,226
4140,1627,189
4140,2741,227
4140,4979,265
4140,1099,150
4140,5178,152
4140,2343,177
4140,5619,312
4140,573,246
4140,5161,717
4140,5598,204
4140,4625,652
4140,864,920
4140,3127,242
4140,2219,176
4140,5191,283
4140,1883,177
4140,3900,528
4140,4542,452
4140,2054,293
4140,5175,226
4140,192,189
4140,5112,252
4140,5584,181
4140,2829,792
4140,5495,154
4140,1006,152
4140,1817,634
4140,3952,207
4140,2463,250
4140,4183,200
4140,354,162
4140,1369,294
4140,5181,219
4140,1853,262
4140,2294,247
4140,892,357
4140,5372,230
4140,4169,457
4140,1001,415
4140,1505,615
4140,5687,153
4140,4554,490
4140,2834,188
4140,5897,156
4140,3219,253
4140,1970,329
4140,5002,150
4140,469,581
4140,1312,173
4140,1500,158
4140,2511,335
4140,3770,197
4140,5874,234
4140,4322,252
4140,3738,251
4140,4876,166
4140,2192,229
4140,4408,150
4140,792,422
4140,5419,275
4140,3784,161
4140,5519,255
4140,2730,286
4140,5219,195
4140,4723,215
4140,3091,214
4140,1304,400
4140,3747,217
4140,4888,367
4140,4710,398
4140,876,163
4140,650,291
4140,2263,167
4140,5120,600
4140,1136,600
4140,2348,459
4140,2345,317
4140,3928,321
4140,1435,218
4140,2157,181
4140,5251,165
4140,3429,386
4140,4671,505
4140,2909,175
4140,5712,202
4140,1327,334
4140,3550,160
4140,1280,356
4140,4551,516
4140,4139,388
4140,768,336
4140,846,211
4140,4203,223
4140,984,267
4140,5103,153
4140,1671,168
4140,482,417
4140,2848,460
4140,15,153
4140,1848,281
4140,64,221
4140,3754,322
732,5668,171
732,5864,242
732,5149,208
732,2260,156
732,3857,246
732,4004,272
732,3684,323
732,891,250
732,5993,268
732,4939,261
732,4434,458
732,668,216
732,2191,279
732,5767,165
732,1909,287
732,163,237
732,2384,176
732,5106,406
732,4155,924
732,3226,217
732,4015,478
732,1951,190
732,879,405
732,243,411
732,1337,465
732,3951,190
732,5645,202
732,2443,260
732,1786,261
732,837,656
732,2623,428
732,4302,636
732,5701,301
732,2894,962
732,1738,292
732,754,164
732,3733,178
732,4713,261
732,4819,226
732,740,383
732,1105,311
732,1495,286
732,3750,160
732,1752,507
732,753,151
732,704,394
732,341,717
732,492,300
732,5466,219
732,2276,278
732,191,663
732,826,156
732,139,484
732,546,233
732,1217,744
732,4128,177
732,5218,463
732,2175,206
732,905,242
732,4606,193
732,1126,250
732,1382,489
732,1278,479
732,4188,239
732,5764,371
732,2747,504
732,1339,157
732,1835,248
732,3531,169
732,5385,531
732,1611,293
732,1675,723
732,1343,460
732,357,170
732,2313,526
732,1610,236
732,5888,193
732,1017,418
732,5930,544
732,1946,426
732,4807,566
732,3562,185
732,5226,172
732,486,180
732,1814,259
732,5376,409
732,4711,195
732,4363,214
732,3112,582
732,4329,558
732,1246,507
732,4676,159
732,2540,218
732,951,650
732,703,482
732,5045,363
732,2222,502
732,4470,322
732,291,382
732,4256,357
732,4761,259
732,403,292
732,3054,400
732,5809,167
732,1384,172
732,2517,205
732,5569,238
732,4287,165
732,4809,261
732,144,522
732,4199,335
732,26,190
732,358,326
732,4186,537
732,3347,161
732,3100,258
732,5127,323
732,1351,268
732,831,154
732,2328,201
732,3676,232
732,4388,246
732,1227,197
732,2059,527
732,5948,169
732,3567,161
732,5032,248
732,4756,169
732,607,217
732,229,467
732,5778,517
732,3839,276
732,87,179
732,292,199
732,5760,430
732,478,179
732,2119,179
732,712,404
732,507,282
732,2000,356
732,1785,298
732,108,356
732,405,374
732,4369,179
732,3395,454
732,1502,165
732,2262,499
732,3167,608
732,5006,230
732,5775,371
732,1562,238
732,1528,347
732,4651,941
732,4471,166
732,3917,203
732,452,466
732,2169,234
732,5492,537
732,3802,194
732,4276,153
732,5479,352
732,3141,454
732,615,691
732,4604,261
732,1056,240
732,3937,268
732,5877,179
732,946,459
732,5398,472
732,2197,293
732,722,414
732,4984,186
732,3139,234
732,4749,287
732,5489,206
732,481,204
732,2410,158
732,83,185
732,4173,255
732,4090,610
732,2992,831
732,4185,201
732,2055,325
732,5560,252
732,3657,596
732,3311,273
732,3965,451
732,3157,168
732,3905,295
732,531,271
732,2808,192
732,990,311
732,4340,346
732,2475,233
732,3427,195
732,1325,212
732,4282,211
732,3662,508
732,4178,404
732,5053,284
732,5811,202
732,3877,606
732,784,177
732,9,263
732,3390,638
732,5186,616
732,1226,177
732,3629,459
732,1129,425
732,5235,188
732,468,198
732,4171,157
732,1947,472
732,2044,743
732,1362,451
732,647,865
732,2670,158
732,3574,201
732,5825,231
732,4986,368
732,4934,173
732,5603,241
732,3104,169
732,662,595
732,693,231
732,3432,459
732,1244,259
732,2683,304
732,4314,305
732,871,385
732,3659,337
732,5508,334
732,2392,430
732,276,437
732,3674,719
732,4201,254
732,5804,890
732,4644,153
732,4158,325
732,2404,271
732,2790,718
732,4665,303
732,2415,152
732,55,153
732,760,252
732,4883,212
732,1929,282
732,1621,300
732,3630,311
732,1457,436
732,4511,341
732,4561,466
732,4546,434
732,3632,177
732,1580,294
732,487,985
732,4513,519
732,4764,210
732,2502,188
732,1755,173
732,4412,207
732,1305,339
732,1579,150
732,1762,164
732,1520,392
732,216,569
732,952,232
732,3416,965
732,5441,569
732,2641,167
732,4328,607
732,1271,161
732,3683,310
732,3211,604
732,3536,342
732,2435,245
732,2524,998
732,1272,185
732,4517,184
732,3334,159
732,2618,183
732,1975,451
732,1692,242
732,5671,535
732,1789,442
732,3425,180
732,3146,331
732,5159,261
732,5322,161
732,2700,180
732,199,980
732,3402,251
732,2004,241
732,1686,270
732,5817,236
732,802,256
732,5988,325
732,799,189
732,895,223
732,3600,252
732,5147,546
732,3083,174
732,4696,198
732,598,207
732,5307,192
732,3853,283
732,4552,189
732,3505,216
732,245,156
732,1575,401
732,24,161
732,5777,341
732,2574,166
732,5196,209
732,193,447
732,2343,262
732,1555,396
732,2244,430
732,1627,466
732,1273,318
732,5965,931
732,2741,355
732,954,239
732,4979,776
732,5633,181
732,1099,176
732,992,286
732,529,159
732,5362,189
732,4368,179
732,4523,403
732,1447,218
732,4542,994
732,5619,231
732,4949,208
732,5161,764
732,5548,288
732,4625,296
732,4379,688
732,5112,716
732,541,174
732,5609,728
732,3399,312
732,1723,220
732,1353,181
732,5175,459
732,2406,234
732,5495,270
732,2829,336
732,380,260
732,2243,284
732,1006,311
732,1817,342
732,4863,240
732,2679,252
732,4572,263
732,2463,985
732,4183,169
732,394,165
732,4479,294
732,3092,294
732,3487,371
732,810,307
732,3925,243
732,450,713
732,1721,155
732,2671,457
732,5372,218
732,4019,386
732,4169,232
732,1001,186
732,354,263
732,1369,195
732,5188,233
732,776,335
732,4406,328
732,5181,248
732,2554,465
732,1853,461
732,5765,159
732,836,323
732,2834,670
732,3219,223
732,5832,267
732,1505,444
732,1897,229
732,1828,756
732,1962,243
732,5189,154
732,4554,151
732,705,301
732,5145,181
732,231,215
732,3738,615
732,4322,412
732,3719,193
732,3691,589
732,5502,519
732,1462,235
732,5002,430
732,5582,263
732,5694,211
732,4390,208
732,5051,309
732,1778,288
732,1312,159
732,1500,392
732,1843,935
732,4804,270
732,3091,293
732,4182,651
732,2208,155
732,1304,167
732,4626,284
732,11,229
732,4888,369
732,4408,948
732,5419,603
732,4333,232
732,4699,388
732,5519,178
732,3784,234
732,206,375
732,2999,601
732,4723,328
732,2455,524
732,650,376
732,2316,497
732,3512,310
732,5120,376
732,5130,181
732,5898,206
732,1136,714
732,32,256
732,2348,157
732,2345,482
732,2157,501
732,1468,587
732,1392,294
732,2310,245
732,3931,400
732,154,455
732,876,258
732,2252,167
732,977,366
732,1327,190
732,823,230
732,1280,257
732,3661,242
732,4551,283
732,3525,231
732,5855,858
732,4815,265
732,4671,194
732,5736,223
732,5712,200
732,3125,280
732,181,182
732,2848,183
732,64,160
732,4996,260
732,2533,176
732,5401,566
732,2982,279
732,953,309
732,768,838
732,707,452
732,4998,154
732,3679,226
732,3421,923
732,3816,161
732,1979,245
732,4064,168
732,5103,530
732,4624,460
732,1671,817
732,4997,196
732,770,394
732,330,532
732,1349,280
732,5986,405
732,3572,333
732,159,235
732,1471,207
732,3532,181
732,1150,156
732,862,225
732,2273,331
732,68,655
732,896,284
732,3847,424
732,97,171
732,927,186
732,1357,470
732,4140,372
732,490,235
732,3184,208
732,2167,203
732,5208,182
732,1998,235
732,2859,983
732,3890,417
732,1449,181
732,5697,304
732,5301,765
732,4595,155
732,5214,528
732,3068,153
732,3513,199
732,5870,527
732,1127,515
732,1978,264
732,5138,173
732,1518,578
732,3647,547
732,378,457
732,2546,165
732,5895,208
732,4073,479
732,2457,522
732,5631,456
732,4297,271
732,794,223
732,1259,216
732,392,280
732,3515,309
732,1288,151
732,2501,154
732,5274,168
732,1487,300
732,5938,225
732,176,227
732,3443,215
732,1570,155
732,3214,338
732,5660,189
732,5925,453
732,4818,774
732,3111,229
732,847,629
732,3130,411
732,675,193
732,4795,207
732,767,266
732,3158,192
732,2084,242
732,1119,908
732,3090,279
732,3001,340
732,3458,333
732,5131,164
732,5992,188
732,4674,268
732,1121,189
732,2610,637
732,860,175
732,4104,261
732,4469,370
732,2012,154
732,2575,150
732,4395,227
732,4769,154
732,1770,604
732,5672,438
732,5680,722
732,5403,190
732,223,403
732,3547,955
732,1614,201
732,2400,176
732,670,161
732,3514,261
732,2556,156
732,730,520
732,4160,162
732,4659,324
732,1968,673
732,5722,160
732,1445,753
732,3989,241
732,1507,175
732,4563,349
732,4052,378
732,4475,231
732,840,654
732,263,486
732,1390,487
732,3099,199
732,3160,238
732,764,443
732,3709,358
732,687,480
732,5031,212
732,3762,464
732,502,196
732,5907,350
732,2985,310
732,3716,360
732,5601,377
732,566,191
732,54,258
732,3871,627
732,1063,349
732,3912,241
732,4884,327
732,2529,320
732,4930,298
732,5596,434
732,476,314
732,748,158
732,3387,599
732,5125,496
732,1135,240
732,4796,162
732,3072,157
732,5673,192
732,5669,469
732,5969,393
732,4858,708
732,350,203
732,2422,484
732,401,202
732,439,368
732,775,234
732,4771,463
732,4923,152
732,3426,308
732,889,150
732,178,394
732,2452,306
732,750,986
732,443,593
732,751,244
732,3374,266
732,692,277
732,3506,524
732,130,292
732,3788,151
732,3812,168
732,2784,180
732,3382,197
732,940,395
732,2382,354
732,1,278
732,1794,341
732,3304,480
732,3277,298
732,2171,809
732,1691,495
732,5136,649
732,4289,177
732,4527,287
732,4170,567
732,2234,408
732,1837,262
732,2397,181
732,2601,300
732,5643,999
732,5410,750
732,4790,454
732,2585,693
732,1213,231
732,1221,573
732,5358,184
732,3702,172
732,3858,154
732,1376,155
732,4933,314
732,3101,174
732,3873,520
732,4425,893
732,2902,524
732,4156,340
732,2460,183
732,4591,256
732,620,183
732,4452,363
732,3397,211
732,5331,338
732,1032,291
732,1181,408
732,3796,338
732,3652,194
732,1093,229
732,1984,378
732,1908,325
732,1530,181
732,3034,392
732,2401,467
732,3057,174
732,4702,323
732,4454,300
732,1953,219
732,2389,198
732,4274,170
732,1270,152
732,5135,291
732,5789,385
732,5823,638
732,5237,183
732,3585,953
732,399,367
732,2445,229
732,5485,279
732,588,293
732,3403,532
732,3836,299
732,1663,565
732,991,606
732,4927,169
732,2182,374
732,1248,497
732,3518,229
732,1682,476
732,2047,228
732,7,859
732,5822,310
732,858,157
732,5035,290
732,4308,157
732,2350,553
732,4567,183
732,3336,208
732,917,262
732,5875,156
732,2184,337
732,3189,192
732,3641,260
732,2591,224
732,172,197
732,3941,806
732,4364,321
732,591,350
732,1107,180
732,2994,198
732,3359,737
732,4033,232
732,5999,413
732,2385,971
732,2227,246
732,5537,159
732,2851,564
732,400,295
732,4409,217
732,3582,256
732,2203,550
732,4631,424
732,1262,298
732,211,601
732,587,183
732,812,150
732,5622,168
732,4252,160
732,4441,381
732,494,367
732,2245,195
732,232,227
732,1895,657
732,5089,203
732,5890,434
732,4803,252
732,1028,489
732,2716,195
732,3254,785
732,4179,424
732,5659,834
732,5239,247
732,5093,436
732,35,274
732,2678,335
732,1741,167
732,3120,808
732,5507,417
732,5826,220
732,1229,419
732,4744,329
732,4125,158
732,832,297
732,4440,288
732,643,805
732,534,164
732,2114,175
732,4001,626
732,3751,384
732,682,627
732,4472,451
732,4990,174
732,5926,235
732,2253,164
732,3163,294
732,2292,175
732,335,195
732,5869,469
732,3267,470
732,4589,408
732,3106,523
732,432,216
732,2664,274
732,4062,214
732,3594,370
732,2261,169
732,3785,155
732,1548,341
732,3828,323
732,99,218
732,4643,454
732,4413,151
732,295,480
732,133,175
732,3947,203
732,1657,282
732,2599,218
732,1387,159
732,4273,200
732,2877,181
732,3117,541
732,5447,214
732,1297,218
732,1698,157
732,4242,193
732,4548,216
732,1413,412
732,1635,240
732,4054,412
732,136,202
732,4873,415
732,28,178
732,3275,174
732,3011,373
732,4499,211
732,2841,153
732,395,164
732,118,189
732,2159,161
732,855,505
732,3133,336
732,1116,484
732,5679,151
732,2164,441
732,4578,294
732,4094,326
732,3875,453
732,3071,989
732,4482,416
732,2864,246
732,4752,252
732,2280,322
732,5982,173
732,4503,204
732,4489,161
732,166,217
732,1057,948
732,1506,554
732,1964,222
732,148,340
732,1714,369
732,4865,419
732,1684,150
732,648,236
732,3252,459
732,3682,567
732,1884,282
732,3173,352
732,660,732
732,5238,169
732,838,428
732,1068,208
732,543,152
732,5556,175
732,3524,331
732,2631,156
732,4266,519
732,787,205
732,4745,712
732,4898,661
732,4528,234
732,3910,299
732,165,220
732,5176,580
732,771,283
732,1429,155
732,3831,813
732,3501,176
732,2943,193
732,2377,342
732,2387,607
732,5644,186
732,274,294
732,5095,161
732,1515,295
732,5954,165
732,4729,709
732,5456,282
732,4951,366
732,453,346
732,4290,227
732,5210,218
732,3668,197
732,5615,260
732,3619,262
732,3464,457
732,3327,248
732,2034,286
732,4146,266
732,4910,385
732,3882,688
732,3060,625
732,3885,226
732,1690,620
732,5142,213
732,4738,636
732,4566,330
732,3677,228
732,2768,363
732,4229,171
732,2712,604
732,3381,282
732,4976,295
732,1391,215
732,2558,248
732,5707,968
732,4176,175
732,477,565
732,3067,305
732,4714,436
732,4091,169
732,2101,169
732,3655,521
732,1183,749
732,5632,273
732,320,493
732,4234,154
732,4661,168
732,3265,336
732,583,424
732,1704,333
732,5943,328
732,2158,323
732,2961,151
732,1649,492
732,4806,183
732,3113,342
732,899,209
732,1013,188
732,1798,520
732,5595,164
732,2143,742
732,3497,199
732,1683,425
5475,4301,218
5475,2121,194
5475,3744,392
5475,2289,467
5475,5218,201
5475,3545,302
5475,860,321
5475,1914,181
5475,3163,539
5475,193,158
5475,209,151
5475,4287,193
5475,2261,269
5475,28,171
5475,4259,400
5475,4434,286
5475,4446,331
5475,3543,172
5475,5441,184
5475,567,212
5475,678,335
5475,2128,162
5475,1105,166
5475,2340,350
5475,3583,167
5475,876,165
5475,5881,236
5475,629,161
5475,3827,201
5475,5736,493
5475,5151,170
5475,5135,233
5475,4087,171
5475,955,177
5475,2224,274
5475,394,252
5475,2679,153
5475,780,165
5475,2656,252
5475,3781,235
5475,2890,275
5475,874,307
5475,1425,710
5475,1605,165
3400,4382,749
3400,5191,480
3400,4542,208
3400,5175,307
3400,3093,151
3400,3006,176
3400,2114,315
3400,388,295
3400,3120,161
3400,4849,482
3400,4929,151
3400,2221,204
3400,5990,194
3400,3254,152
3400,4284,906
3400,3233,907
3400,3856,909
3400,3664,171
3400,5308,151
3400,1457,189
3400,1682,179
3400,3811,955
3400,657,821
3400,858,156
3400,5520,201
3400,952,905
3400,2257,321
3400,2608,295
3400,1969,911
3400,1214,304
3400,5707,198
3400,3882,177
3400,4408,199
3400,2034,179
3400,1316,908
3400,154,170
3400,299,647
3400,141,254
3400,1778,177
3400,3092,412
3400,4499,386
3400,3275,210
3400,795,211
3400,1453,325
3400,5882,253
3400,3428,213
3400,563,213
3400,5722,614
3400,675,167
3400,409,180
3400,2289,284
3400,4596,184
3400,744,266
3400,1081,521
3400,392,154
3400,2587,364
3400,4830,924
3400,4103,519
3400,634,269
3400,4014,907
3400,902,913
3400,4318,435
3400,5415,242
3400,399,252
3400,4693,837
3400,3283,181
3400,3889,179
3400,4282,297
3400,5849,153
3400,3667,905
3400,849,207
3400,5907,473
3400,3215,157
3400,780,586
3400,4903,300
3400,2188,302
3400,731,917
1879,4543,199
1879,2207,206
1879,5787,153
1879,3274,188
1879,4757,151
1879,551,264
1879,4116,239
1879,1290,231
1879,4567,186
1879,917,173
1879,4919,348
1879,4353,190
1879,640,190
1879,4698,167
1879,3859,230
1879,1845,365
1879,3284,158
1879,5318,181
1879,5178,902
1879,1946,188
1879,4190,901
1879,5440,314
1879,2515,163
1879,4081,161
1879,2226,721
1879,5045,184
1879,1770,188
1879,4395,252
1879,2396,151
1879,5193,182
1879,242,224
1879,5136,218
1879,1745,904
1879,751,906
1879,3737,339
1879,387,167
1879,2715,184
1879,2152,168
1879,4865,257
1879,2712,333
1879,3784,842
1879,4707,181
1879,3386,183
1879,4393,150
1879,5485,669
1879,5657,497
1879,5487,227
2207,1841,313
2207,860,331
2207,4363,170
2207,456,212
2207,5226,191
2207,5406,185
2207,2289,193
2207,2142,252
2207,2144,199
2207,480,171
2207,4,205
2207,1936,199
2207,291,227
2207,3969,163
2207,2186,150
2207,837,167
2207,4140,168
2207,5030,330
2207,743,195
2207,5645,157
2207,1381,156
2207,3857,161
2207,3684,302
2207,5942,154
2207,139,155
2207,1678,220
2207,3647,366
2207,680,208
2207,1105,190
2207,1879,206
2207,4292,182
2207,1984,152
2207,2264,221
2207,4098,182
2207,4591,170
2207,5665,212
2207,240,339
2207,3657,207
2207,3571,181
2207,5485,433
2207,2683,212
2207,4274,163
2207,906,167
2207,4986,187
2207,1528,168
2207,4903,175
2207,1915,288
2207,5125,212
2207,3665,194
2207,2985,207
2207,4857,152
2207,2000,170
2207,3565,285
2207,1794,212
2207,3473,167
2207,3433,169
2207,4909,231
2207,775,180
2207,432,266
2207,2343,358
2207,643,539
2207,3744,284
2207,1229,184
2207,5659,319
2207,3494,290
2207,136,220
2207,4873,192
2207,2054,196
2207,4548,167
2207,133,189
2207,4130,233
2207,3900,185
2207,942,194
2207,4364,273
2207,1107,278
2207,3838,182
2207,2257,355
2207,2039,164
2207,4546,173
2207,3336,163
2207,4457,194
2207,1457,213
2207,304,180
2207,1766,230
2207,587,674
2207,2618,152
2207,5437,324
2207,2768,302
2207,2348,273
2207,2416,273
2207,5142,186
2207,4738,299
2207,1701,181
2207,1356,164
2207,4951,336
2207,3848,256
2207,2286,234
2207,768,179
2207,2961,186
2207,2933,579
2207,3429,181
2207,1183,150
2207,2101,212
2207,2767,181
2207,5188,212
2207,2164,607
2207,2548,322
2207,810,183
2207,544,211
2207,4330,245
2207,3281,190
2207,3798,275
2207,3809,164
2207,836,350
2207,3219,206
1925,3333,169
1925,4521,435
1925,3839,156
1925,478,277
1925,5031,634
1925,3056,181
1925,5775,216
1925,4858,190
1925,4651,277
1925,4350,233
1925,741,200
1925,3917,168
1925,401,250
1925,3077,936
1925,4204,999
1925,2396,234
1925,5578,163
1925,4770,435
1925,3912,189
1925,2801,278
1925,2188,864
1925,3486,226
1925,1808,261
1925,692,735
1925,5398,170
1925,1782,272
1925,849,529
1925,1095,940
1925,2756,250
1925,3588,170
1925,2234,301
1925,3725,580
1925,5088,173
1925,3895,964
1925,4952,233
1925,4086,228
1925,2595,435
1925,1443,435
1925,5136,990
1925,4527,150
1925,1655,150
1925,4425,151
1925,147,185
1925,2460,217
1925,3210,189
1925,4845,996
1925,1009,214
1925,2713,435
1925,235,287
1925,5358,168
1925,1780,428
1925,2379,210
1925,3657,194
1925,3311,192
1925,3965,173
1925,1748,273
1925,6002,154
1925,3101,467
1925,5186,224
1925,1984,201
1925,3834,261
1925,329,218
1925,3821,180
1925,647,592
1925,1042,347
1925,3732,296
1925,2,999
1925,237,678
1925,1403,435
1925,2720,271
1925,127,974
1925,4742,999
1925,5151,281
1925,5135,192
1925,70,165
1925,3432,270
1925,5508,371
1925,3556,189
1925,4166,759
1925,5836,505
1925,485,489
1925,956,992
1925,5061,292
1925,1985,435
1925,783,965
1925,4693,204
1925,5887,999
1925,2445,753
1925,168,334
1925,5485,423
1925,1849,693
1925,3748,231
1925,770,249
1925,1264,250
1925,5922,198
1925,3898,403
1925,3572,243
1925,159,438
1925,474,280
1925,5787,161
1925,1088,164
1925,313,270
1925,2623,456
1925,114,435
1925,1738,155
1925,4155,279
1925,4103,243
1925,3366,190
1925,5083,435
1925,704,189
1925,145,435
1925,640,693
1925,341,191
1925,5245,153
1925,1231,435
1925,3896,279
1925,4353,183
1925,1518,239
1925,2132,257
1925,5424,150
1925,3859,161
1925,3750,167
1925,794,620
1925,4919,908
1925,5400,427
1925,3515,164
1925,2561,302
1925,3583,665
1925,2546,162
1925,600,449
1925,826,272
1925,1939,207
1925,3966,742
1925,2121,314
1925,2040,166
1925,1610,565
1925,4774,225
1925,1988,277
1925,5218,203
1925,2501,227
